merchant,id,status,order_date,payment_date,shipping_date,product_id,product_name,Grade,price,quantity,SKU,subtotal,total,memo_content,shipping_prefecture,注文詳細ID,Domain,payment_method,canceller,product_code,total_price,status_id,orderline_value,payment_status
Amemoba,47495.0,システムキャンセル,,,,7439,AirPods 3 (エアポッツ第3世代 - MME73J/A),Bグレード,20000,1,4K6QHWH4,20000,20000,,秋田県,324370,almond.consulting,クレジットカード決済,システムキャンセル,546537,20000,35,20000,
Sakumoba,49237.0,システムキャンセル,,,,7988,iPhone 6s 32GB - スペースグレイ SIMフリー,Cグレード,10300,1,,10300,10300,,北海道,336545,vi-mash.com,クレジットカード決済,システムキャンセル,14663,10300,35,10300,
PRODIG,,システムキャンセル,,,,1472,iPhone SE (第2世代) 128GB - ホワイト SIMフリー,Cグレード,29800,1,,29800,29800,,神奈川県,473331,proton.me,クレジットカード決済,システムキャンセル,347184,29800,35,29800,
SECOND HAND,66326.0,システムキャンセル,,,,12229,iPhone 12 Pro Max 256GB - グラファイト SIMフリー,Cグレード,124500,1,IP12PRM256GRP-3,124500,124500,,埼玉県,461027,outlook.jp,クレジットカード決済,システムキャンセル,413847,124500,35,124500,―
ワールドモバイル,66907.0,システムキャンセル,,,,11692,iPad Pro 12.9インチ 第4世代 - 2020 - WiFi - 256GB - スペースグレイ,Aグレード,96800,1,,96800,96800,,大阪府,465366,f5.si,クレジットカード決済,システムキャンセル,428051,96800,35,96800,―
PRODIG,78181.0,システムキャンセル,,,,9389,iPhone 12 128GB - ホワイト SIMフリー,Bグレード,91976,1,12-wh-128-2,91976,91976,,大阪府,553561,f5.si,クレジットカード決済,システムキャンセル,418116,91976,35,91976,
Amemoba,78580.0,システムキャンセル,,,,13371,iPhone 13 128GB - ピンク SIMフリー,Aグレード,115000,1,2633518,115000,115000,,大阪府,557108,gmail.com,クレジットカード決済,システムキャンセル,512310,115000,35,115000,
Reuse Style,78584.0,システムキャンセル,,,,12458,iPhone 12 128GB - グリーン SIMフリー,Bグレード,91795,1,,91795,91795,,大阪府,557138,gmail.com,クレジットカード決済,システムキャンセル,418122,91795,35,91795,
Likewize Japan,78726.0,システムキャンセル,,,,4602,iPhone 12 Pro 512GB - パシフィックブルー SIMフリー,Bグレード,101000,1,,101000,101000,,大阪府,558594,gmail.com,クレジットカード決済,システムキャンセル,510372,101000,35,101000,
PRODIG,79035.0,システムキャンセル,,,,4955,iPhone 12 128GB - ブルー SIMフリー,Bグレード,93800,1,12-br-128-2,93800,93800,,大阪府,561428,gmail.com,クレジットカード決済,システムキャンセル,418120,93800,35,93800,
SECOND HAND,80044.0,システムキャンセル,,,,11358,iPhone 12 64GB - パープル SIMフリー,Cグレード,80000,1,IP1264PPL-3,80000,80000,,大阪府,570837,gmail.com,クレジットカード決済,システムキャンセル,475946,80000,35,80000,
Lucky Sky,80489.0,キャンセル受付完了 / 返金完了,44805.63449074074,44805.63449074074,,9869,iPhone 12 256GB - ブラック SIMフリー,Aグレード,95000,1,IP12-256G-BLACK-S,95000,95000,"Fraud
なりすましの可能性がありキャンセル",大阪府,574606,gmail.com,クレジットカード決済,BackMarketJP,418112,95000,3,95000,取消
ワールドモバイル,57472.0,システムキャンセル,,,,2653,iPad mini 第5世代 7.9インチ - 2019 - WiFi + Cellular - 256GB - スペースグレイ SIMフリー,Cグレード,46800,1,,46800,46800,,大阪府,395803,tks.to,クレジットカード決済,システムキャンセル,303914,46800,35,46800,
P&G,82933.0,システムキャンセル,,,,4664,AirPods 2 (エアポッツ第2世代 - MRXJ2JA) with Wireless Charging Case (ワイヤレス充電),Aグレード,18500,1,4549995054170-d,18500,18500,,東京都,597569,gmail.com,クレジットカード決済,システムキャンセル,388408,18500,35,18500,
P&G,51741.0,システムキャンセル,,,,4620,AirPods Pro (エアポッツプロ - MWP22J/A),Aグレード,22990,1,4549995085938-d,22990,22990,,奈良県,354666,maileven.com,クレジットカード決済,システムキャンセル,308532,22990,35,22990,
Sakumoba,47611.0,システムキャンセル,,,,7498,iPhone 13 Pro 512GB - ゴールド SIMフリー,Aグレード,147980,1,,147980,147980,,東京都,325200,hotmail.com,クレジットカード決済,システムキャンセル,512410,147980,35,147980,―
Loop Mobile,52816.0,システムキャンセル,,,,9245,iPhone 12 256GB - グリーン SIMフリー,Aグレード,88500,1,PH-AP-IP1200-FAC-256-GR-A2403-A,88500,88500,,静岡県,362255,outlook.jp,クレジットカード決済,システムキャンセル,388256,88500,35,88500,
Amemoba,79628.0,キャンセル受付完了 / 返金完了,44802.47046296296,44802.47046296296,,12744,iPad Air 第5世代 10.9インチ - 2022 - WiFi + Cellular SIMフリー - 64GB - スペースグレイ,Aグレード,96800,1,71505930,96800,96800,,福岡県,566855,gmail.com,クレジットカード決済,BackMarketJP,687769,96800,3,96800,取消
Amemoba,83692.0,システムキャンセル,,,,10966,iPhone 12 128GB - (PRODUCT)Red SIMフリー,Cグレード,78899,1,14238930,78899,78899,,福岡県,604556,gmail.com,クレジットカード決済,システムキャンセル,418118,78899,35,78899,
P&G,83485.0,システムキャンセル,,,,13097,Apple Watch Series 3 (GPSモデル) - 2017 - 38mm スペースグレイアルミニウムケース - ブラックスポーツバンド付き,Aグレード,23800,1,4549995043402-d,23800,23800,,京都府,602806,proton.me,クレジットカード決済,システムキャンセル,48408,23800,35,23800,
P&G,65421.0,システムキャンセル,,,,4664,AirPods 2 (エアポッツ第2世代 - MRXJ2JA) with Wireless Charging Case (ワイヤレス充電),Aグレード,18500,1,4549995054170-d,18500,18500,,東京都,454189,yeah.net,クレジットカード決済,システムキャンセル,388408,18500,35,18500,―
アップルバイヤーズ,82099.0,システムキャンセル,,,,13991,iPhone 12 128GB - ホワイト SIMフリー,Aグレード,96800,1,39174,96800,96800,,愛知県,589584,gmail.com,クレジットカード決済,システムキャンセル,418116,96800,35,96800,
アップルバイヤーズ,82442.0,システムキャンセル,,,,13991,iPhone 12 128GB - ホワイト SIMフリー,Aグレード,96800,1,39174,96800,96800,,愛知県,592923,gmail.com,クレジットカード決済,システムキャンセル,418116,96800,35,96800,
アップルバイヤーズ,82108.0,システムキャンセル,,,,13991,iPhone 12 128GB - ホワイト SIMフリー,Aグレード,96800,1,39174,96800,96800,,茨城県,589675,gmail.com,クレジットカード決済,システムキャンセル,418116,96800,35,96800,
Likewize Japan,46590.0,システムキャンセル,,,,7570,iPhone 12 128GB - ブルー SIMフリー,Bグレード,76000,1,,76000,76000,,群馬県,318071,yahoo.com,クレジットカード決済,システムキャンセル,418120,76000,35,76000,
Amemoba,67621.0,システムキャンセル,,,,9276,iPhone 12 64GB - ホワイト SIMフリー,Bグレード,79799,1,753264,79799,79799,,岐阜県,470673,gmail.com,クレジットカード決済,システムキャンセル,418117,79799,35,79799,
