merchant,id,status,order_date,payment_date,shipping_date,product_id,product_name,Grade,price,quantity,SKU,subtotal,total,memo_content,shipping_prefecture,注文詳細ID,Domain,payment_method,canceller,product_code,total_price,status_id,orderline_value,payment_status
Amemoba,47495.0,less_normal,,,,7439,AirPods 3 (エアポッツ第3世代 - MME73J/A),B,20000,1,4K6QHWH4,20000,20000,,small_city,324370,other,credit_card,big_canceller,546537,20000,35,20000,
Sakumoba,49237.0,less_normal,,,,7988,iPhone 6s 32GB - スペースグレイ SIMフリー,C,10300,1,,10300,10300,,small_city,336545,other,credit_card,big_canceller,14663,10300,35,10300,
PRODIG,,less_normal,,,,1472,iPhone SE (第2世代) 128GB - ホワイト SIMフリー,C,29800,1,,29800,29800,,big_city,473331,other,credit_card,big_canceller,347184,29800,35,29800,
SECOND HAND,66326.0,less_normal,,,,12229,iPhone 12 Pro Max 256GB - グラファイト SIMフリー,C,124500,1,IP12PRM256GRP-3,124500,124500,,big_city,461027,other,credit_card,big_canceller,413847,124500,35,124500,―
ワールドモバイル,66907.0,less_normal,,,,11692,iPad Pro 12.9インチ 第4世代 - 2020 - WiFi - 256GB - スペースグレイ,A,96800,1,,96800,96800,,big_city,465366,other,credit_card,big_canceller,428051,96800,35,96800,―
PRODIG,78181.0,less_normal,,,,9389,iPhone 12 128GB - ホワイト SIMフリー,B,91976,1,12-wh-128-2,91976,91976,,big_city,553561,other,credit_card,big_canceller,418116,91976,35,91976,
Amemoba,78580.0,less_normal,,,,13371,iPhone 13 128GB - ピンク SIMフリー,A,115000,1,2633518,115000,115000,,big_city,557108,gmail.com,credit_card,big_canceller,512310,115000,35,115000,
Reuse Style,78584.0,less_normal,,,,12458,iPhone 12 128GB - グリーン SIMフリー,B,91795,1,,91795,91795,,big_city,557138,gmail.com,credit_card,big_canceller,418122,91795,35,91795,
Likewize Japan,78726.0,less_normal,,,,4602,iPhone 12 Pro 512GB - パシフィックブルー SIMフリー,B,101000,1,,101000,101000,,big_city,558594,gmail.com,credit_card,big_canceller,510372,101000,35,101000,
PRODIG,79035.0,less_normal,,,,4955,iPhone 12 128GB - ブルー SIMフリー,B,93800,1,12-br-128-2,93800,93800,,big_city,561428,gmail.com,credit_card,big_canceller,418120,93800,35,93800,
SECOND HAND,80044.0,less_normal,,,,11358,iPhone 12 64GB - パープル SIMフリー,C,80000,1,IP1264PPL-3,80000,80000,,big_city,570837,gmail.com,credit_card,big_canceller,475946,80000,35,80000,
Lucky Sky,80489.0,normal,2022-09-01,44805.63449074074,,9869,iPhone 12 256GB - ブラック SIMフリー,A,95000,1,IP12-256G-BLACK-S,95000,95000,"Fraud
なりすましの可能性がありキャンセル",big_city,574606,gmail.com,credit_card,mid_canceller,418112,95000,3,95000,cancel
ワールドモバイル,57472.0,less_normal,,,,2653,iPad mini 第5世代 7.9インチ - 2019 - WiFi + Cellular - 256GB - スペースグレイ SIMフリー,C,46800,1,,46800,46800,,big_city,395803,other,credit_card,big_canceller,303914,46800,35,46800,
P&G,82933.0,less_normal,,,,4664,AirPods 2 (エアポッツ第2世代 - MRXJ2JA) with Wireless Charging Case (ワイヤレス充電),A,18500,1,4549995054170-d,18500,18500,,big_city,597569,gmail.com,credit_card,big_canceller,388408,18500,35,18500,
P&G,51741.0,less_normal,,,,4620,AirPods Pro (エアポッツプロ - MWP22J/A),A,22990,1,4549995085938-d,22990,22990,,small_city,354666,other,credit_card,big_canceller,308532,22990,35,22990,
Sakumoba,47611.0,less_normal,,,,7498,iPhone 13 Pro 512GB - ゴールド SIMフリー,A,147980,1,,147980,147980,,big_city,325200,other,credit_card,big_canceller,512410,147980,35,147980,―
Loop Mobile,52816.0,less_normal,,,,9245,iPhone 12 256GB - グリーン SIMフリー,A,88500,1,PH-AP-IP1200-FAC-256-GR-A2403-A,88500,88500,,small_city,362255,other,credit_card,big_canceller,388256,88500,35,88500,
Amemoba,79628.0,normal,2022-08-29,44802.47046296296,,12744,iPad Air 第5世代 10.9インチ - 2022 - WiFi + Cellular SIMフリー - 64GB - スペースグレイ,A,96800,1,71505930,96800,96800,,small_city,566855,gmail.com,credit_card,mid_canceller,687769,96800,3,96800,cancel
Amemoba,83692.0,less_normal,,,,10966,iPhone 12 128GB - (PRODUCT)Red SIMフリー,C,78899,1,14238930,78899,78899,,small_city,604556,gmail.com,credit_card,big_canceller,418118,78899,35,78899,
P&G,83485.0,less_normal,,,,13097,Apple Watch Series 3 (GPSモデル) - 2017 - 38mm スペースグレイアルミニウムケース - ブラックスポーツバンド付き,A,23800,1,4549995043402-d,23800,23800,,small_city,602806,other,credit_card,big_canceller,48408,23800,35,23800,
P&G,65421.0,less_normal,,,,4664,AirPods 2 (エアポッツ第2世代 - MRXJ2JA) with Wireless Charging Case (ワイヤレス充電),A,18500,1,4549995054170-d,18500,18500,,big_city,454189,other,credit_card,big_canceller,388408,18500,35,18500,―
アップルバイヤーズ,82099.0,less_normal,,,,13991,iPhone 12 128GB - ホワイト SIMフリー,A,96800,1,39174,96800,96800,,small_city,589584,gmail.com,credit_card,big_canceller,418116,96800,35,96800,
アップルバイヤーズ,82442.0,less_normal,,,,13991,iPhone 12 128GB - ホワイト SIMフリー,A,96800,1,39174,96800,96800,,small_city,592923,gmail.com,credit_card,big_canceller,418116,96800,35,96800,
アップルバイヤーズ,82108.0,less_normal,,,,13991,iPhone 12 128GB - ホワイト SIMフリー,A,96800,1,39174,96800,96800,,small_city,589675,gmail.com,credit_card,big_canceller,418116,96800,35,96800,
Likewize Japan,46590.0,less_normal,,,,7570,iPhone 12 128GB - ブルー SIMフリー,B,76000,1,,76000,76000,,small_city,318071,other,credit_card,big_canceller,418120,76000,35,76000,
Amemoba,67621.0,less_normal,,,,9276,iPhone 12 64GB - ホワイト SIMフリー,B,79799,1,753264,79799,79799,,small_city,470673,gmail.com,credit_card,big_canceller,418117,79799,35,79799,
Likewize Japan,79952.0,normal,2022-08-30,44803.63024305556,,10662,iPhone 12 64GB - ブラック SIMフリー,A,68995,1,,68995,68995,,small_city,570018,gmail.com,credit_card,mid_canceller,418114,68995,3,68995,cancel
SECOND HAND,63253.0,less_normal,,,,6448,iPhone 11 128GB - ブラック SIMフリー,A,59000,1,IP11128BK-1,59000,59000,,big_city,438386,other,credit_card,big_canceller,290063,59000,35,59000,―
Amemoba,64759.0,less_normal,,,,11115,iPhone 13 Pro 256GB - シエラブルー SIMフリー,C,147800,1,,147800,147800,,big_city,449487,other,credit_card,big_canceller,512422,147800,35,147800,
PRODIG,82097.0,less_normal,,,,4955,iPhone 12 128GB - ブルー SIMフリー,B,93800,1,12-br-128-2,93800,93800,,small_city,589567,gmail.com,credit_card,big_canceller,418120,93800,35,93800,
Sakumoba,76138.0,less_normal,,,,6831,iPhone 12 128GB - ブルー SIMフリー,C,86800,1,,86800,86800,,big_city,535814,gmail.com,credit_card,big_canceller,418120,86800,35,86800,―
ワールドモバイル,80870.0,less_normal,,,,14061,iPad Pro 12.9インチ 第4世代 - 2020 - WiFi + Cellular - 512GB - シルバー SIMフリー,A,101800,1,,101800,101800,,big_city,578027,other,credit_card,big_canceller,338473,101800,35,101800,
